Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Allegiant Air (G4)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","02/11/2019","0339","317NV","BOI","20:51","21:09","133","128","18","20:54","15","18","0","0","0","0"
"G4","02/11/2019","0345","336NV","PVU","15:57","15:40","117","104","-17","15:28","12","0","0","0","0","0"
"G4","02/11/2019","1360","226NV","CVG","09:32","09:30","302","303","-2","09:23","7","0","0","0","0","0"
"G4","02/13/2019","0319","336NV","SGF","21:10","22:49","229","265","99","22:39","10","0","0","99","0","0"
"G4","02/13/2019","0361","336NV","MTJ","12:45","12:59","126","147","14","12:50","9","0","0","0","0","0"
"G4","02/14/2019","0303","317NV","OKC","13:00","13:13","184","200","13","13:09","4","0","0","0","0","0"
"G4","02/14/2019","0339","336NV","BOI","17:37","18:16","125","142","39","18:04","12","17","0","17","0","5"
"G4","02/14/2019","0341","317NV","MFR","23:26","23:08","112","113","-18","23:01","7","0","0","0","0","0"
"G4","02/14/2019","0702","313NV","BLI","09:39","10:13","159","194","34","09:51","22","0","0","34","0","0"
"G4","02/14/2019","1360","260NV","CVG","08:41","09:26","311","321","45","09:17","9","0","0","10","35","0"
"G4","02/15/2019","0335","317NV","TUL","14:07","13:59","216","217","-8","13:49","10","0","0","0","0","0"
"G4","02/15/2019","0343","336NV","EUG","22:49","23:32","122","120","43","23:21","11","0","0","7","0","36"
"G4","02/15/2019","0345","336NV","PVU","17:07","17:51","118","128","44","17:47","4","0","0","10","0","34"
"G4","02/15/2019","0355","317NV","MEM","23:31","01:05","264","298","94","00:58","7","0","60","34","0","0"
"G4","02/15/2019","1360","226NV","CVG","10:11","11:05","311","331","54","10:56","9","34","0","20","0","0"
"G4","02/16/2019","0319","336NV","SGF","21:10","21:27","229","246","17","21:20","7","0","0","17","0","0"
"G4","02/16/2019","0361","336NV","MTJ","12:45","12:36","126","125","-9","12:28","8","0","0","0","0","0"
"G4","02/17/2019","0303","317NV","OKC","13:00","13:09","184","198","9","13:05","4","0","0","0","0","0"
"G4","02/17/2019","0339","317NV","BOI","17:37","18:37","125","115","60","18:27","10","0","0","0","0","60"
"G4","02/17/2019","0341","317NV","MFR","23:26","00:18","112","98","52","00:13","5","0","0","52","0","0"
"G4","02/17/2019","0702","304NV","BLI","09:39","10:25","159","156","46","10:07","18","46","0","0","0","0"
"G4","02/17/2019","1360","247NV","CVG","08:41","08:49","311","319","8","08:42","7","0","0","0","0","0"
"G4","02/18/2019","0335","302NV","TUL","14:07","13:48","216","204","-19","13:41","7","0","0","0","0","0"
"G4","02/18/2019","0343","317NV","EUG","22:49","22:45","122","115","-4","22:34","11","0","0","0","0","0"
"G4","02/18/2019","0345","317NV","PVU","17:07","16:38","118","100","-29","16:31","7","0","0","0","0","0"
"G4","02/18/2019","0355","302NV","MEM","23:31","23:31","264","268","0","23:16","15","0","0","0","0","0"
"G4","02/18/2019","1360","260NV","CVG","10:11","10:39","311","306","28","10:34","5","28","0","0","0","0"
"G4","02/20/2019","0319","302NV","SGF","21:10","20:40","229","209","-30","20:33","7","0","0","0","0","0"
"G4","02/20/2019","0361","302NV","MTJ","12:45","12:45","126","122","0","12:39","6","0","0","0","0","0"
"G4","02/21/2019","0303","317NV","OKC","13:00","13:15","184","191","15","13:09","6","0","0","15","0","0"
"G4","02/21/2019","0339","302NV","BOI","17:37","18:10","125","116","33","18:00","10","4","0","0","0","29"
"G4","02/21/2019","0341","317NV","MFR","23:26","23:50","112","102","24","23:42","8","0","0","0","0","24"
