Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","01/23/2019","0010","N391HA","HNL","15:20","15:33","320","339","13","15:20","13","0","0","0","0","0"
"HA","01/23/2019","0034","N381HA","OGG","22:10","22:17","300","310","7","22:04","13","0","0","0","0","0"
"HA","01/23/2019","0062","N214HA","KOA","23:40","23:42","315","328","2","23:28","14","0","0","0","0","0"
"HA","01/23/2019","0064","N208HA","LIH","21:40","21:47","320","337","7","21:41","6","0","0","0","0","0"
"HA","01/24/2019","0002","N383HA","HNL","23:05","23:03","320","319","-2","22:47","16","0","0","0","0","0"
"HA","01/24/2019","0004","N386HA","HNL","06:35","07:52","315","317","77","07:38","14","2","0","0","0","75"
"HA","01/24/2019","0010","N386HA","HNL","15:20","16:17","320","384","57","15:25","52","57","0","0","0","0"
"HA","01/24/2019","0034","N399HA","OGG","22:10","22:09","300","305","-1","22:03","6","0","0","0","0","0"
"HA","01/24/2019","0062","N214HA","KOA","23:40","23:26","315","316","-14","23:12","14","0","0","0","0","0"
"HA","01/24/2019","0064","N215HA","LIH","21:40","21:48","320","330","8","21:36","12","0","0","0","0","0"
"HA","01/25/2019","0002","N396HA","HNL","23:05","22:56","320","317","-9","22:42","14","0","0","0","0","0"
"HA","01/25/2019","0004","N381HA","HNL","06:35","06:37","315","317","2","06:25","12","0","0","0","0","0"
"HA","01/25/2019","0010","N390HA","HNL","15:20","15:58","320","350","38","15:26","32","38","0","0","0","0"
"HA","01/25/2019","0034","N399HA","OGG","22:10","22:11","300","307","1","22:03","8","0","0","0","0","0"
"HA","01/25/2019","0062","N214HA","KOA","23:40","00:10","315","338","30","00:04","6","30","0","0","0","0"
"HA","01/25/2019","0064","N215HA","LIH","21:40","01:51","320","311","251","01:44","7","0","0","0","0","251"
"HA","01/26/2019","0002","N392HA","HNL","23:05","23:01","320","316","-4","22:50","11","0","0","0","0","0"
"HA","01/26/2019","0004","N370HA","HNL","06:35","06:16","315","306","-19","06:06","10","0","0","0","0","0"
"HA","01/26/2019","0010","N370HA","HNL","15:20","15:30","320","329","10","15:16","14","0","0","0","0","0"
"HA","01/26/2019","0034","N381HA","OGG","22:10","22:17","300","306","7","22:09","8","0","0","0","0","0"
"HA","01/26/2019","0062","N215HA","KOA","23:40","00:55","315","315","75","00:46","9","0","0","0","0","75"
"HA","01/26/2019","0064","N213HA","LIH","21:40","21:43","320","334","3","21:31","12","0","0","0","0","0"
"HA","01/27/2019","0002","N373HA","HNL","23:05","23:12","320","309","7","23:05","7","0","0","0","0","0"
"HA","01/27/2019","0004","N395HA","HNL","06:35","06:24","315","308","-11","06:16","8","0","0","0","0","0"
"HA","01/27/2019","0010","N395HA","HNL","15:20","15:14","320","320","-6","15:08","6","0","0","0","0","0"
"HA","01/27/2019","0034","N370HA","OGG","22:10","22:11","300","300","1","21:59","12","0","0","0","0","0"
"HA","01/27/2019","0062","N215HA","KOA","23:40","23:31","315","316","-9","23:24","7","0","0","0","0","0"
"HA","01/27/2019","0064","N214HA","LIH","21:40","21:53","320","333","13","21:40","13","0","0","0","0","0"
"HA","01/28/2019","0002","N388HA","HNL","23:05","23:20","320","336","15","23:08","12","15","0","0","0","0"
"HA","01/28/2019","0004","N391HA","HNL","06:35","06:32","315","323","-3","06:26","6","0","0","0","0","0"
"HA","01/28/2019","0010","N391HA","HNL","15:20","15:46","320","335","26","15:29","17","26","0","0","0","0"
"HA","01/28/2019","0034","N395HA","OGG","22:10","22:28","300","321","18","22:16","12","18","0","0","0","0"
"HA","01/28/2019","0062","N214HA","KOA","23:40","23:48","315","334","8","23:35","13","0","0","0","0","0"
"HA","01/28/2019","0064","N213HA","LIH","21:40","21:57","320","342","17","21:44","13","17","0","0","0","0"
"HA","01/29/2019","0002","N386HA","HNL","23:05","23:09","320","328","4","22:57","12","0","0","0","0","0"
"HA","01/29/2019","0004","N393HA","HNL","06:35","06:42","315","324","7","06:35","7","0","0","0","0","0"
"HA","01/29/2019","0010","N393HA","HNL","15:20","15:47","320","351","27","15:36","11","27","0","0","0","0"
"HA","01/29/2019","0034","N391HA","OGG","22:10","22:17","300","323","7","22:01","16","0","0","0","0","0"
"HA","01/29/2019","0062","N213HA","KOA","23:40","24:00","315","344","20","23:51","9","20","0","0","0","0"
"HA","01/29/2019","0064","N215HA","LIH","21:40","21:55","320","336","15","21:43","12","15","0","0","0","0"
"HA","01/30/2019","0002","N382HA","HNL","23:05","23:20","320","337","15","22:59","21","15","0","0","0","0"
"HA","01/30/2019","0004","N374HA","HNL","06:35","06:51","315","338","16","06:39","12","16","0","0","0","0"
"HA","01/30/2019","0010","N373HA","HNL","15:20","15:48","320","355","28","15:15","33","28","0","0","0","0"
"HA","01/30/2019","0034","N393HA","OGG","22:10","22:51","300","350","41","22:05","46","41","0","0","0","0"
"HA","01/30/2019","0062","N215HA","KOA","23:40","23:46","315","327","6","23:39","7","0","0","0","0","0"
"HA","01/30/2019","0064","N214HA","LIH","21:40","21:49","320","334","9","21:36","13","0","0","0","0","0"
"HA","01/31/2019","0002","N373HA","HNL","23:05","23:10","320","329","5","22:53","17","0","0","0","0","0"
"HA","01/31/2019","0004","N395HA","HNL","06:35","06:29","315","321","-6","06:11","18","0","0","0","0","0"
"HA","01/31/2019","0010","N396HA","HNL","15:20","15:25","320","333","5","15:09","16","0","0","0","0","0"
"HA","01/31/2019","0034","N374HA","OGG","22:10","22:24","300","314","14","22:09","15","0","0","0","0","0"
"HA","01/31/2019","0062","N215HA","KOA","23:40","00:16","315","329","36","00:05","11","14","0","0","0","22"
"HA","01/31/2019","0064","N205HA","LIH","21:40","21:50","320","334","10","21:40","10","0","0","0","0","0"
"HA","02/01/2019","0002","N381HA","HNL","23:05","23:17","320","319","12","23:00","17","0","0","0","0","0"
"HA","02/01/2019","0004","","HNL","06:30","00:00","310","0","0","00:00","0","0","0","0","0","0"
"HA","02/01/2019","0010","N375HA","HNL","15:20","18:57","320","313","217","18:40","17","217","0","0","0","0"
"HA","02/01/2019","0034","N389HA","OGG","22:15","22:06","310","303","-9","21:55","11","0","0","0","0","0"
"HA","02/01/2019","0062","N215HA","KOA","23:40","23:35","320","324","-5","23:16","19","0","0","0","0","0"
"HA","02/01/2019","0064","N214HA","LIH","21:45","21:33","325","322","-12","21:20","13","0","0","0","0","0"
"HA","02/02/2019","0002","N399HA","HNL","23:05","23:03","320","302","-2","22:49","14","0","0","0","0","0"
"HA","02/02/2019","0004","N379HA","HNL","06:30","11:43","310","316","313","11:26","17","313","0","0","0","0"
"HA","02/02/2019","0010","N390HA","HNL","15:20","15:00","320","303","-20","14:50","10","0","0","0","0","0"
"HA","02/02/2019","0034","N389HA","OGG","22:15","22:13","310","289","-2","22:01","12","0","0","0","0","0"
"HA","02/02/2019","0062","N214HA","KOA","23:40","00:14","320","310","34","24:00","14","0","0","0","0","34"
"HA","02/02/2019","0064","N216HA","LIH","21:45","21:46","325","323","1","21:32","14","0","0","0","0","0"
"HA","02/03/2019","0002","N390HA","HNL","23:05","23:14","320","314","9","22:57","17","0","0","0","0","0"
"HA","02/03/2019","0004","N388HA","HNL","06:30","06:21","310","308","-9","06:10","11","0","0","0","0","0"
"HA","02/03/2019","0010","N388HA","HNL","15:20","15:05","320","310","-15","14:54","11","0","0","0","0","0"
"HA","02/03/2019","0034","N389HA","OGG","22:15","22:05","310","306","-10","21:46","19","0","0","0","0","0"
"HA","02/03/2019","0062","N214HA","KOA","23:40","23:19","320","305","-21","23:13","6","0","0","0","0","0"
"HA","02/03/2019","0064","N204HA","LIH","21:45","21:51","325","334","6","21:34","17","0","0","0","0","0"
"HA","02/04/2019","0002","N396HA","HNL","23:05","22:58","320","313","-7","22:44","14","0","0","0","0","0"
"HA","02/04/2019","0004","N399HA","HNL","06:30","06:24","310","304","-6","06:10","14","0","0","0","0","0"
"HA","02/04/2019","0010","N373HA","HNL","15:20","14:56","320","305","-24","14:45","11","0","0","0","0","0"
"HA","02/04/2019","0034","N388HA","OGG","22:15","21:53","310","290","-22","21:48","5","0","0","0","0","0"
"HA","02/04/2019","0062","N204HA","KOA","23:40","23:52","320","317","12","23:37","15","0","0","0","0","0"
"HA","02/04/2019","0064","N214HA","LIH","21:45","22:19","325","320","34","22:08","11","0","0","0","0","34"
